row,postal_code
3,A0B 3B0
4,B4E 3A5
5,B3K 3B4
6,B4V 3A2
7,B3J 0J1
8,B3S 0B9
9,B1P 5Z1
10,B2T 1B7
11,B3B 0M4
12,B3M 0P3
13,B0E 1H0
14,E1G 6H5
15,E2J 1C7
16,E4N 2C5
17,H3G 1R8
18,G2E 5G5
19,H3C 1L9
20,H2P 2H3
21,J7G 2A8
22,G9P 1N6
24,J0S 1V0
25,J5W 4P5
26,J6Y 0J8
27,H1P 1A2
28,J4K 4K2
29,H2K 3T1
31,J9P 1T2
32,J3L 6N8
33,L9T 8P6
35,L6R 3J6
36,N0H 2C3
39,K1N 8S7
40,M1S 4E4
41,M4H 1C3
42,L5T 1B6
43,M9W 0A2
44,L5H 3A1
45,L9J 0J8
46,L6V 1C2
47,L3M 4M8
48,L5E 2X9
49,M3N 1V7
53,L5T 1Y1
54,L4T 0A7
56,L2H 1H3
57,L5N 5V3
58,M1H 3C3
59,M5A 1S9
60,L6M 2Y3
61,M1S 3R6
62,L1W 3X4
63,L2W 1A3
64,L5R 2Z1
65,L6W 3M2
66,L7C 4G5
67,L6P 0X4
68,L7G 4S7
69,L6P 2P1
70,L4W 2P3
71,L6T 5K1
72,L4C 0M5
73,L4L 8G8
74,L6H 4E4
75,L6R 0Y7
76,L6Y 3M1
77,M4S 1X8
78,L6J 7W5
79,L6H 7S8
80,L6R 2R2
81,M9W 3E4
82,L6M 1M1
83,L6Y 6G2
84,L4H 4G6
85,L6P 4G8
86,L6T 4Y3
88,K0E 1T0
90,L4Z 1V9
92,M1B 2W3
93,K0K 1H0
94,L4W 0E6
95,L8E 2T1
96,L7A 4B1
97,N6A 3N7
98,L7E 1K3
99,L9T 4Z9
100,L4V 1W1
101,L6P 4G7
102,N6P 1V4
103,L7E 3B6
104,L4W 4L9
105,M3J 2S4
106,L5N 8B8
107,M6J 2R9
108,L6Y 6G9
109,L6X 2Y8
110,M1H 2S8
111,L8M 1C6
112,N6J 4X2
113,M4N 1B9
114,L0R 1P0
115,M9V 3Y6
123,M8V 3Y3
124,N7T 2K5
125,L0S 1E3
126,L6P 1M2
128,M5R 3K4
129,N3V 0A6
131,L3Z 3G9
132,L6M 1V7
133,L4N 6C1
134,L6K 0J1
135,L5T 1S1
136,L2G 0Y3
137,L7N 3G2
138,M5V 1T2
140,L6W 0E5
141,L4L 4S5
142,L4J 0G1
145,L5T 2J9
146,M9W 5R6
147,L3R 4S1
148,M5T 2C2
149,K8N 5N9
150,M6J 2Z8
151,M2M 1C8
152,L6P 3N4
153,L7E 4E8
154,M1N 4B5
155,L4K 2L7
157,M6S 1P1
158,M5C 1S2
159,K4K 1J8
160,N2L 0C7
161,L5N 2X7
162,M9L 2A9
163,M6H 2T2
164,L6R 0W3
165,L5V 2A6
166,L6S 6H6
167,P2N 2E9
168,L6X 4M5
169,L5T 0B3
171,L6X 4K9
172,K1R 0E2
173,L7P 4Y2
174,L6W 3K7
175,M1E 4S6
176,M9W 5Z8
177,L3R 1G9
179,M5V 2Y1
180,L7L 6A3
181,L9E 0E9
182,N0B 2C0
183,M6A 1S1
184,L5T 2E1
185,L5R 3J6
186,M6J 1C3
187,M6K 1Y7
188,L5V 1T2
189,L6W 0B6
190,L4J 5Y5
191,L1P 1L5
192,L4K 4Y2
193,N3R 3V7
195,L5N 2X4
196,L7A 2X4
197,L6Y 0P8
199,L4K 1Z8
200,M3J 2N2
202,L5T 2L6
203,M1X 1G2
204,M4M 2K9
205,L6P 3P4
206,M9C 5J1
208,M6J 1H6
209,M5B 2E7
210,L6T 4N9
211,P0C 1A0
212,N6G 0T8
213,M4H 1J5
214,L5N 6J5
215,N0R 1A0
216,L6X 5M9
217,L5W 1N6
218,N2V 1C5
219,L4K 2B9
220,L5S 1V8
223,L5N 1V9
224,N0G 2L2
225,M1V 0C9
226,M1P 3L5
227,L6P 1L5
228,L6X 5K7
229,K1G 4K3
230,N1H 3J8
233,L5B 3X9
234,L6Y 1Y7
235,L5W 1N5
236,L7A 1B7
237,N8X 2A8
238,L4T 3T5
239,L8K 1C7
240,M1X 1E7
241,L5M 4Z5
242,M3J 0L1
243,M6B 3B5
244,L6L 4A7
245,M6G 1B7
246,L2G 1T5
247,L7L 6W6
248,L6R 3P4
251,N0M 2K0
252,L2S 0E7
253,L8W 3N1
254,L5T 2N8
256,L6S 5W5
257,L7G 4R9
258,M9W 5S8
259,M1W 2L8
260,L0J 1C0
264,L9T 5J1
265,L4V 1R5
266,L4L 4A2
267,L3V 0W1
268,L8E 5Z2
269,L5T 1R7
270,M6E 1C9
271,L4G 3C5
272,L5C 3Y8
273,L8N 1M4
274,M9V 5G6
275,L4B 3Z4
276,L6Y 4A3
277,L4W 3E8
278,N7A 4L5
279,M1P 3E6
280,M4K 1R1
281,L3R 5V7
282,L6R 0K1
283,L5S 1V6
284,K7M 7G2
285,M1S 1V2
287,L5G 4N2
288,N7T 5V8
289,L6H 6X5
290,L1W 3G7
291,M9N 2R5
292,N2H 4W8
293,L6L 2X9
294,L6A 3V8
295,L6T 2E7
296,M1P 3C2
297,L4L 5V5
298,L7N 3J5
299,L1M 2E7
300,M4G 2B6
301,L7B 1K5
302,L7P 3Z3
303,P0X 1C0
304,M2N 3B5
305,L4B 3N4
306,K1T 0S8
307,N1H 7Y5
309,M5V 0C4
310,L9W 3V3
311,M9P 2M1
313,M1X 1B1
314,L4K 5B5
315,M9W 0B5
316,L6P 2K8
318,M4B 3M1
320,L9T 0W6
321,K7L 4V4
322,L5T 1W6
323,M1P 4S6
324,M1V 2W2
325,N2V 2E5
326,L4K 1W1
327,L6A 0K8
328,M9W 1P1
329,L6X 0W8
330,L3Y 4V8
331,P0L 1N0
333,K8V 5P6
334,K2J 4G3
335,M2K 2Y2
337,L4W 4P3
338,L4W 4Z4
340,L4W 1T7
341,P3Y 1K7
342,L5S 0A2
345,N6A 1V7
346,M3J 2N7
347,M3J 2G2
348,M2N 7E9
349,K1P 5G3
350,L4Z 1V4
351,K0A 1L0
352,L4K 3S6
353,L4N 0M4
354,K2V 1C7
356,K0B 1P0
357,L6Z 1E8
358,L4V 1M5
359,M8Z 5L5
360,M5V 3B1
361,M1L 3E9
362,L4K 2G5
363,L4E 0Y1
364,M1B 2G1
365,L0P 1B0
366,R7N 1K7
367,R3R 3Z9
368,R3E 2T2
369,R3G 0C4
370,R2R 1R7
371,R2P 1C7
372,R2G 2T7
373,R3E 2S6
374,R5R 0C9
375,R3M 3J3
376,R2V 3V1
377,R4A 1A2
379,R8N 1Y8
380,R1N 0N9
381,R2J 4H7
382,R2R 0H3
383,R3C 1V4
384,R7A 7L2
385,R3E 3L2
386,R2J 0G5
387,R9A 2K0
388,R3C 4L9
389,R6W 1J4
390,R2C 1Z1
391,R3H 0M5
392,S4N 0N4
393,S4V 3P7
394,S7K 0W3
395,S7M 3B6
396,S0K 4S2
397,S4R 6Z6
398,S9V 1K4
399,S9V 1T2
400,S9H 3Z4
401,S0N 1N0
402,S9A 1E8
403,S7H 0V6
404,S0G 2N0
405,S4R 2R1
406,S7S 1P2
407,S0E 1E0
408,S9H 5N1
409,S0H 0L0
411,T3J 0Y5
413,T3K 2A8
414,T1Z 0M8
415,T3N 0P6
416,T6L 3R5
417,T3E 0C1
418,T2G 0T1
422,T2E 8T6
423,T6V 1A8
424,T6A 0H9
425,T3M 2C4
427,T3J 4V3
428,T6V 0C5
